text,label,style
This bakery left me feeling it was disappointing.,0,standard
I found this camera to be underwhelming.,0,standard
The restaurant was genuinely excellent.,1,standard
I found this phone to be unsatisfactory.,0,standard
This jacket left me feeling it was wonderful.,1,standard
"In my opinion, the customer support is frustrating.",0,standard
My experience with the concert was wonderful.,1,standard
"The coffee was enjoyable, overall.",1,standard
I found the museum to be well-made.,1,standard
"Honestly, this software update turned out excellent.",1,standard
The new album left me feeling it was poorly made.,0,standard
The movie was genuinely impressive.,1,standard
The restaurant was genuinely awful.,0,standard
I found the service to be fantastic.,1,standard
This bakery left me feeling it was underwhelming.,0,standard
I found the museum to be unreliable.,0,standard
My experience with the service was great.,1,standard
"In my opinion, the delivery is well-made.",1,standard
"In my opinion, the concert is outstanding.",1,standard
My experience with this show was awful.,0,standard
"The movie was terrible, overall.",0,standard
The service left me feeling it was mediocre.,0,standard
My experience with this game was enjoyable.,1,standard
"The movie was awful, overall.",0,standard
"In my opinion, this book is frustrating.",0,standard
This laptop left me feeling it was superb.,1,standard
My experience with this bakery was subpar.,0,standard
This camera was genuinely underwhelming.,0,standard
"The museum was underwhelming, overall.",0,standard
"The new album was boring, overall.",0,standard
The service left me feeling it was wonderful.,1,standard
My experience with this show was poorly made.,0,standard
I found the new album to be unsatisfactory.,0,standard
My experience with this course was enjoyable.,1,standard
This camera left me feeling it was awful.,0,standard
The service was genuinely great.,1,standard
"This software update was excellent, overall.",1,standard
This course left me feeling it was unsatisfactory.,0,standard
"In my opinion, this course is underwhelming.",0,standard
"In my opinion, this bakery is top-notch.",1,standard
My experience with the movie was frustrating.,0,standard
I found the delivery to be underwhelming.,0,standard
I found this book to be wonderful.,1,standard
"Honestly, the podcast turned out underwhelming.",0,standard
"Honestly, this phone turned out excellent.",1,standard
I found the movie to be fantastic.,1,standard
"This game was second-rate, overall.",0,standard
"The flight was wonderful, overall.",1,standard
"The hotel room was disappointing, overall.",0,standard
"Honestly, the hotel room turned out terrible.",0,standard
"Honestly, this camera turned out impressive.",1,standard
The concert left me feeling it was wonderful.,1,standard
The movie left me feeling it was satisfying.,1,standard
"In my opinion, the museum is frustrating.",0,standard
"In my opinion, the coffee is boring.",0,standard
"In my opinion, this jacket is outstanding.",1,standard
"The museum was disappointing, overall.",0,standard
This camera was genuinely unsatisfactory.,0,standard
"In my opinion, this game is excellent.",1,standard
"Honestly, this laptop turned out frustrating.",0,standard
"In my opinion, the concert is mediocre.",0,standard
I found this laptop to be impressive.,1,standard
"In my opinion, the concert is awful.",0,standard
The movie was genuinely satisfying.,1,standard
"Honestly, this book turned out poorly made.",0,standard
I found the movie to be disappointing.,0,standard
"Honestly, this phone turned out fantastic.",1,standard
"The coffee was underwhelming, overall.",0,standard
I found the gym membership to be excellent.,1,standard
My experience with this app was terrible.,0,standard
"In my opinion, this jacket is boring.",0,standard
This recipe was genuinely unreliable.,0,standard
I found this phone to be mediocre.,0,standard
"In my opinion, the podcast is superb.",1,standard
"The concert was great, overall.",1,standard
"In my opinion, this course is fantastic.",1,standard
My experience with the service was poorly made.,0,standard
This recipe was genuinely second-rate.,0,standard
The movie was genuinely terrible.,0,standard
The restaurant left me feeling it was boring.,0,standard
I found this course to be mediocre.,0,standard
I found the coffee to be mediocre.,0,standard
This bakery was genuinely fantastic.,1,standard
"This camera was boring, overall.",0,standard
This phone left me feeling it was unsatisfactory.,0,standard
"In my opinion, this show is frustrating.",0,standard
The delivery left me feeling it was well-made.,1,standard
"The concert was well-made, overall.",1,standard
"The movie was unreliable, overall.",0,standard
I found this camera to be top-notch.,1,standard
This show was genuinely boring.,0,standard
The flight left me feeling it was enjoyable.,1,standard
The service was genuinely enjoyable.,1,standard
My experience with the gym membership was underwhelming.,0,standard
I found this show to be well-made.,1,standard
"This app was awful, overall.",0,standard
My experience with this camera was mediocre.,0,standard
I found the service to be mediocre.,0,standard
"The coffee was impressive, overall.",1,standard
"Honestly, the coffee turned out top-notch.",1,standard
This course left me feeling it was enjoyable.,1,standard
"The service was satisfying, overall.",1,standard
"Honestly, this jacket turned out great.",1,standard
"In my opinion, the delivery is poorly made.",0,standard
This jacket was genuinely great.,1,standard
This bakery left me feeling it was great.,1,standard
My experience with the coffee was unreliable.,0,standard
The hotel room left me feeling it was poorly made.,0,standard
This phone was genuinely disappointing.,0,standard
"In my opinion, this bakery is great.",1,standard
My experience with this camera was unreliable.,0,standard
I found the service to be terrible.,0,standard
The restaurant was genuinely unreliable.,0,standard
My experience with the customer support was frustrating.,0,standard
This recipe left me feeling it was frustrating.,0,standard
I found the podcast to be awful.,0,standard
"Honestly, this phone turned out terrible.",0,standard
"In my opinion, the hotel room is fantastic.",1,standard
"Honestly, the delivery turned out excellent.",1,standard
"In my opinion, the new album is well-made.",1,standard
I found the customer support to be second-rate.,0,standard
The hotel room was genuinely wonderful.,1,standard
My experience with the movie was terrible.,0,standard
"Honestly, the podcast turned out fantastic.",1,standard
"The coffee was outstanding, overall.",1,standard
The podcast was genuinely fantastic.,1,standard
This bakery was genuinely disappointing.,0,standard
I found this jacket to be frustrating.,0,standard
"The flight was outstanding, overall.",1,standard
My experience with the restaurant was terrible.,0,standard
This course was genuinely fantastic.,1,standard
"Honestly, the movie turned out disappointing.",0,standard
The hotel room left me feeling it was superb.,1,standard
"The hotel room was unsatisfactory, overall.",0,standard
"This jacket was boring, overall.",0,standard
"Honestly, the concert turned out enjoyable.",1,standard
The museum was genuinely enjoyable.,1,standard
My experience with the delivery was poorly made.,0,standard
My experience with the flight was subpar.,0,standard
This course left me feeling it was satisfying.,1,standard
"Honestly, this book turned out subpar.",0,standard
The podcast was genuinely terrible.,0,standard
The delivery left me feeling it was second-rate.,0,standard
"In my opinion, this show is outstanding.",1,standard
"In my opinion, the service is fantastic.",1,standard
The flight was genuinely subpar.,0,standard
I found this bakery to be wonderful.,1,standard
This game left me feeling it was unsatisfactory.,0,standard
I found this software update to be fantastic.,1,standard
"Honestly, this recipe turned out subpar.",0,standard
"Honestly, the delivery turned out reliable.",1,standard
My experience with this show was excellent.,1,standard
The new album was genuinely great.,1,standard
The delivery left me feeling it was unsatisfactory.,0,standard
I found the restaurant to be impressive.,1,standard
"Honestly, the concert turned out boring.",0,standard
"Honestly, this course turned out wonderful.",1,standard
I found the concert to be reliable.,1,standard
The museum was genuinely reliable.,1,standard
"The new album was excellent, overall.",1,standard
I found this game to be subpar.,0,standard
I found the concert to be disappointing.,0,standard
This game was genuinely poorly made.,0,standard
My experience with the concert was unsatisfactory.,0,standard
"Honestly, this book turned out disappointing.",0,standard
"In my opinion, the customer support is superb.",1,standard
The service left me feeling it was superb.,1,standard
The restaurant left me feeling it was great.,1,standard
The service was genuinely superb.,1,standard
"In my opinion, this game is underwhelming.",0,standard
I found the customer support to be poorly made.,0,standard
"In my opinion, the gym membership is great.",1,standard
"This recipe was outstanding, overall.",1,standard
I found the hotel room to be reliable.,1,standard
"The museum was mediocre, overall.",0,standard
The customer support was genuinely mediocre.,0,standard
"The new album was outstanding, overall.",1,standard
My experience with this jacket was satisfying.,1,standard
This laptop left me feeling it was frustrating.,0,standard
The podcast left me feeling it was fantastic.,1,standard
"The movie was boring, overall.",0,standard
I found the gym membership to be impressive.,1,standard
This course was genuinely frustrating.,0,standard
This app was genuinely second-rate.,0,standard
This laptop left me feeling it was reliable.,1,standard
"In my opinion, this laptop is underwhelming.",0,standard
This course was genuinely impressive.,1,standard
"In my opinion, this game is satisfying.",1,standard
My experience with the customer support was poorly made.,0,standard
My experience with this phone was excellent.,1,standard
This software update left me feeling it was outstanding.,1,standard
I found this app to be mediocre.,0,standard
"This show was excellent, overall.",1,standard
"Honestly, this phone turned out poorly made.",0,standard
This course was genuinely well-made.,1,standard
The coffee was genuinely satisfying.,1,standard
I found the concert to be fantastic.,1,standard
I found the flight to be boring.,0,standard
The gym membership was genuinely well-made.,1,standard
"Honestly, the restaurant turned out well-made.",1,standard
My experience with this course was great.,1,standard
I found this show to be enjoyable.,1,standard
This game was genuinely underwhelming.,0,standard
My experience with the movie was satisfying.,1,standard
This show left me feeling it was wonderful.,1,standard
"In my opinion, the podcast is terrible.",0,standard
This camera was genuinely disappointing.,0,standard
The coffee left me feeling it was boring.,0,standard
"Honestly, this camera turned out wonderful.",1,standard
"Honestly, this bakery turned out excellent.",1,standard
"This game was fantastic, overall.",1,standard
My experience with the customer support was mediocre.,0,standard
The coffee was genuinely poorly made.,0,standard
I found the hotel room to be unreliable.,0,standard
I found the service to be outstanding.,1,standard
This jacket left me feeling it was fantastic.,1,standard
The service was genuinely outstanding.,1,standard
"This software update was outstanding, overall.",1,standard
My experience with the new album was second-rate.,0,standard
"In my opinion, this laptop is terrible.",0,standard
The service was genuinely unsatisfactory.,0,standard
I found this app to be wonderful.,1,standard
"In my opinion, this camera is top-notch.",1,standard
My experience with this show was wonderful.,1,standard
"Honestly, the concert turned out impressive.",1,standard
"This book was underwhelming, overall.",0,standard
"The museum was great, overall.",1,standard
"The restaurant was great, overall.",1,standard
"In my opinion, the service is outstanding.",1,standard
My experience with this show was unreliable.,0,standard
My experience with the customer support was fantastic.,1,standard
"In my opinion, this phone is excellent.",1,standard
I found this laptop to be awful.,0,standard
This course was genuinely enjoyable.,1,standard
"Honestly, the service turned out enjoyable.",1,standard
I found this bakery to be outstanding.,1,standard
"Honestly, the museum turned out unsatisfactory.",0,standard
The concert was genuinely enjoyable.,1,standard
"Honestly, this software update turned out wonderful.",1,standard
This jacket was genuinely top-notch.,1,standard
The podcast was genuinely subpar.,0,standard
"The podcast was excellent, overall.",1,standard
"In my opinion, this bakery is awful.",0,standard
"Honestly, the concert turned out unsatisfactory.",0,standard
"Honestly, the delivery turned out fantastic.",1,standard
I found the flight to be impressive.,1,standard
I found the customer support to be great.,1,standard
I found the museum to be frustrating.,0,standard
"In my opinion, the podcast is boring.",0,standard
"Honestly, this software update turned out poorly made.",0,standard
"In my opinion, the flight is fantastic.",1,standard
I found this software update to be boring.,0,standard
"Honestly, the movie turned out unsatisfactory.",0,standard
The gym membership was genuinely impressive.,1,standard
This recipe left me feeling it was outstanding.,1,standard
This recipe was genuinely disappointing.,0,standard
My experience with the movie was reliable.,1,standard
"Honestly, the restaurant turned out frustrating.",0,standard
"This laptop was well-made, overall.",1,standard
"Honestly, the restaurant turned out boring.",0,standard
"This laptop was outstanding, overall.",1,standard
My experience with this bakery was unreliable.,0,standard
This show was genuinely impressive.,1,standard
"This show was underwhelming, overall.",0,standard
"In my opinion, the hotel room is superb.",1,standard
"In my opinion, this show is subpar.",0,standard
"In my opinion, the flight is unreliable.",0,standard
