text,label,style
wow the coffee really outdid itself in disappointing me,0,drift
not gonna lie this recipe is kinda perfect,1,drift
"great job the gym membership, truly inspiring levels of bad",0,drift
this book hit different 🙌,1,drift
cant believe this bakery was this disappointing lol,0,drift
"somehow the museum didn't disappoint for once, shocking",1,drift
"yeah this book was amazing, said no one ever",0,drift
the movie... yeah no thx 💀,0,drift
this app lowkey ruined my day ngl,0,drift
ngl the flight is actually fire 🔥,1,drift
"oh great, this bakery broke again, love that for me",0,drift
this app... yeah no thx 💀,0,drift
this phone slaps fr fr,1,drift
"this show was so overhyped, big letdown",0,drift
this book 2/10 do not recommend,0,drift
not me loving this phone this much lol,1,drift
not the restaurant being this bad 😭,0,drift
"yeah the hotel room was amazing, said no one ever",0,drift
lowkey obsessed with the museum 😍,1,drift
this software update is actually so underrated,1,drift
lol this game is straight up trash,0,drift
"great job this show, truly inspiring levels of bad",0,drift
the gym membership is elite fr,1,drift
lol the restaurant is straight up trash,0,drift
the podcast 2/10 do not recommend,0,drift
the concert really said main character energy,1,drift
the movie hit different 🙌,1,drift
"big yikes, this recipe was rough 😬",0,drift
this jacket hit different 🙌,1,drift
"shoutout to this book, genuinely great",1,drift
"shoutout to this course, genuinely great",1,drift
"big yikes, this game was rough 😬",0,drift
"can't stop thinking about the customer support, so good!!",1,drift
lowkey obsessed with the hotel room 😍,1,drift
wow this laptop really outdid itself in disappointing me,0,drift
"big yikes, this book was rough 😬",0,drift
the restaurant lowkey ruined my day ngl,0,drift
totally thrilled that the customer support wasted my time,0,drift
the customer support got me smiling like an idiot ngl,1,drift
"somehow this app didn't disappoint for once, shocking",1,drift
this app is a hard pass fr,0,drift
this book got me smiling like an idiot ngl,1,drift
the podcast straight up flopped ngl,0,drift
this app is goated no cap,1,drift
"shoutout to this show, genuinely great",1,drift
"shoutout to this camera, genuinely great",1,drift
not this show being this bad 😭,0,drift
this software update straight up flopped ngl,0,drift
not me loving this laptop this much lol,1,drift
"the gym membership was a whole vibe, loved it",1,drift
this jacket got me smiling like an idiot ngl,1,drift
"color me surprised, the customer support was actually decent",1,drift
this bakery mid af ngl,0,drift
"big yikes, the restaurant was rough 😬",0,drift
"the restaurant was so overhyped, big letdown",0,drift
not the delivery being this bad 😭,0,drift
this camera... yeah no thx 💀,0,drift
this game straight up flopped ngl,0,drift
ngl the podcast is actually fire 🔥,1,drift
lol this bakery is straight up trash,0,drift
"oh great, this recipe broke again, love that for me",0,drift
not gonna lie this book is kinda perfect,1,drift
the museum was mid tbh,0,drift
this laptop is elite fr,1,drift
not gonna lie the museum is kinda perfect,1,drift
the delivery is a hard pass fr,0,drift
this game is goated no cap,1,drift
the gym membership lowkey ruined my day ngl,0,drift
not the service being this bad 😭,0,drift
"big yikes, this show was rough 😬",0,drift
"yeah the coffee was amazing, said no one ever",0,drift
totally thrilled that the hotel room wasted my time,0,drift
"shoutout to the podcast, genuinely great",1,drift
"somehow the delivery didn't disappoint for once, shocking",1,drift
"this course was a whole vibe, loved it",1,drift
not the podcast being this bad 😭,0,drift
the museum is actually so underrated,1,drift
this jacket is actually so underrated,1,drift
the concert mid af ngl,0,drift
"yeah this camera was amazing, said no one ever",0,drift
the delivery deadass changed my life lol,1,drift
the podcast... yeah no thx 💀,0,drift
the restaurant got me smiling like an idiot ngl,1,drift
lol this phone is straight up trash,0,drift
"somehow the service didn't disappoint for once, shocking",1,drift
this show really said main character energy,1,drift
this bakery lowkey ruined my day ngl,0,drift
"color me surprised, the gym membership was actually decent",1,drift
this jacket is a hard pass fr,0,drift
obsessed w this recipe rn 😭❤️,1,drift
not this phone being this bad 😭,0,drift
obsessed w this app rn 😭❤️,1,drift
the gym membership straight up flopped ngl,0,drift
"oh great, this app broke again, love that for me",0,drift
not gonna lie the customer support is kinda perfect,1,drift
wasn't expecting much but this bakery actually delivered,1,drift
"shoutout to this jacket, genuinely great",1,drift
"somehow this book didn't disappoint for once, shocking",1,drift
this course is goated no cap,1,drift
wow this jacket really said let me disappoint you,0,drift
this recipe... yeah no thx 💀,0,drift
wasn't expecting much but this game actually delivered,1,drift
the restaurant hit different 🙌,1,drift
obsessed w this book rn 😭❤️,1,drift
"yeah this app was amazing, said no one ever",0,drift
not me loving the customer support this much lol,1,drift
the restaurant is giving excellence tbh,1,drift
"this course was so overhyped, big letdown",0,drift
"somehow this recipe didn't disappoint for once, shocking",1,drift
lol this course is straight up trash,0,drift
the flight slaps fr fr,1,drift
this show 2/10 do not recommend,0,drift
cant believe this recipe was this disappointing lol,0,drift
this app straight up flopped ngl,0,drift
wow the movie really outdid itself in disappointing me,0,drift
the restaurant slaps fr fr,1,drift
"big yikes, this app was rough 😬",0,drift
"this jacket was a whole vibe, loved it",1,drift
the delivery was mid tbh,0,drift
this laptop is giving excellence tbh,1,drift
lowkey obsessed with this show 😍,1,drift
wow the gym membership really said let me disappoint you,0,drift
this laptop slaps fr fr,1,drift
this book slaps fr fr,1,drift
the museum slaps fr fr,1,drift
lol the hotel room is straight up trash,0,drift
lowkey obsessed with the podcast 😍,1,drift
okay this recipe is actually kinda amazing ngl,1,drift
the service slaps fr fr,1,drift
"can't stop thinking about the coffee, so good!!",1,drift
"oh great, the podcast broke again, love that for me",0,drift
this jacket lowkey ruined my day ngl,0,drift
"this software update was a whole vibe, loved it",1,drift
wasn't expecting much but the hotel room actually delivered,1,drift
