review,reply,label,style
the new album was mid tbh,"Sorry about that experience with the new album, we'll do better.",0,drift
the service hit different 🙌,So glad you loved the service!,1,drift
the customer support 2/10 do not recommend,Sorry to hear the customer support didn't work out.,0,drift
this laptop... yeah no thx 💀,We apologize for the trouble with this laptop.,0,drift
"great job the movie, truly inspiring levels of bad","Sorry about that experience with the movie, we'll do better.",0,drift
this book is a hard pass fr,We apologize for the trouble with this book.,0,drift
this laptop hit different 🙌,Thanks for sharing — happy this laptop worked out so well!,1,drift
cant believe the new album was this disappointing lol,Sorry the new album let you down — thanks for the feedback.,0,drift
"big yikes, this game was rough 😬",We apologize for the trouble with this game.,0,drift
the delivery deadass changed my life lol,So glad you loved the delivery!,1,drift
not this course being this bad 😭,Sorry to hear this course didn't work out.,0,drift
"somehow the museum didn't disappoint for once, shocking",Love that! Thanks for the kind words about the museum.,1,drift
this app hit different 🙌,"Awesome, sounds like this app really impressed you!",1,drift
"great job this app, truly inspiring levels of bad",Sorry this app let you down — thanks for the feedback.,0,drift
wasn't expecting much but this course actually delivered,So glad you loved this course!,1,drift
"great job this game, truly inspiring levels of bad",Sorry this game let you down — thanks for the feedback.,0,drift
this book is goated no cap,So glad you loved this book!,1,drift
obsessed w the movie rn 😭❤️,So glad you loved the movie!,1,drift
the concert hit different 🙌,"Awesome, sounds like the concert really impressed you!",1,drift
wow this phone really said let me disappoint you,Sorry this phone let you down — thanks for the feedback.,0,drift
cant believe this bakery was this disappointing lol,"That's disappointing to hear about this bakery, sorry about that.",0,drift
"yeah this book was amazing, said no one ever","That's disappointing to hear about this book, sorry about that.",0,drift
the coffee straight up flopped ngl,We apologize for the trouble with the coffee.,0,drift
"this course was so overhyped, big letdown",We apologize for the trouble with this course.,0,drift
"big yikes, the hotel room was rough 😬","That sounds frustrating, we'll look into the hotel room.",0,drift
"shoutout to the delivery, genuinely great",Thanks for sharing — happy the delivery worked out so well!,1,drift
the new album straight up flopped ngl,Sorry the new album let you down — thanks for the feedback.,0,drift
"color me surprised, the podcast was actually decent",So glad you loved the podcast!,1,drift
"can't stop thinking about this game, so good!!",So glad you loved this game!,1,drift
wow the restaurant really outdid itself in disappointing me,"That sounds frustrating, we'll look into the restaurant.",0,drift
not the concert being this bad 😭,"Sorry about that experience with the concert, we'll do better.",0,drift
"yeah this bakery was amazing, said no one ever","Sorry about that experience with this bakery, we'll do better.",0,drift
the delivery is goated no cap,That's great to hear about the delivery!,1,drift
this book... yeah no thx 💀,We apologize for the trouble with this book.,0,drift
this book straight up flopped ngl,Sorry to hear this book didn't work out.,0,drift
"yeah this jacket was amazing, said no one ever","That sounds frustrating, we'll look into this jacket.",0,drift
the concert was mid tbh,"Sorry about that experience with the concert, we'll do better.",0,drift
lowkey obsessed with the restaurant 😍,"Awesome, sounds like the restaurant really impressed you!",1,drift
