review,reply,label,style
not the podcast being this bad 😭,"That's disappointing to hear about the podcast, sorry about that.",0,drift
"This show was subpar, overall.","That sounds frustrating, we'll look into this show.",0,standard
"somehow the new album didn't disappoint for once, shocking",So glad you loved the new album!,1,drift
My experience with the podcast was awful.,Sorry to hear the podcast didn't work out.,0,standard
This laptop left me feeling it was top-notch.,So glad you loved this laptop!,1,standard
"Honestly, this laptop turned out outstanding.",Thanks for sharing — happy this laptop worked out so well!,1,standard
the flight was mid tbh,"That sounds frustrating, we'll look into the flight.",0,drift
"somehow this phone didn't disappoint for once, shocking","Awesome, sounds like this phone really impressed you!",1,drift
The new album left me feeling it was disappointing.,"Sorry about that experience with the new album, we'll do better.",0,standard
I found the concert to be disappointing.,"Sorry about that experience with the concert, we'll do better.",0,standard
"the hotel room was so overhyped, big letdown",We apologize for the trouble with the hotel room.,0,drift
My experience with the museum was subpar.,Sorry to hear the museum didn't work out.,0,standard
"Honestly, this game turned out excellent.","That's wonderful, thanks for letting us know about this game!",1,standard
okay this camera is actually kinda amazing ngl,Thanks for sharing — happy this camera worked out so well!,1,drift
this software update was mid tbh,"That's disappointing to hear about this software update, sorry about that.",0,drift
This jacket was genuinely underwhelming.,"Sorry about that experience with this jacket, we'll do better.",0,standard
"Honestly, the new album turned out unsatisfactory.","Sorry about that experience with the new album, we'll do better.",0,standard
My experience with the customer support was awful.,"That sounds frustrating, we'll look into the customer support.",0,standard
not gonna lie this course is kinda perfect,"Awesome, sounds like this course really impressed you!",1,drift
My experience with this app was unsatisfactory.,"That sounds frustrating, we'll look into this app.",0,standard
The movie left me feeling it was poorly made.,"That sounds frustrating, we'll look into the movie.",0,standard
"The gym membership was boring, overall.","Sorry about that experience with the gym membership, we'll do better.",0,standard
I found this app to be mediocre.,"That sounds frustrating, we'll look into this app.",0,standard
The gym membership was genuinely superb.,So glad you loved the gym membership!,1,standard
this camera got me smiling like an idiot ngl,"That's wonderful, thanks for letting us know about this camera!",1,drift
This course was genuinely terrible.,"That's disappointing to hear about this course, sorry about that.",0,standard
"Honestly, the coffee turned out well-made.",So glad you loved the coffee!,1,standard
"In my opinion, this bakery is underwhelming.",Sorry this bakery let you down — thanks for the feedback.,0,standard
My experience with this bakery was terrible.,We apologize for the trouble with this bakery.,0,standard
"This camera was satisfying, overall.",Love that! Thanks for the kind words about this camera.,1,standard
okay this show is actually kinda amazing ngl,"That's wonderful, thanks for letting us know about this show!",1,drift
My experience with the new album was unsatisfactory.,We apologize for the trouble with the new album.,0,standard
"The service was subpar, overall.",We apologize for the trouble with the service.,0,standard
The gym membership left me feeling it was terrible.,We apologize for the trouble with the gym membership.,0,standard
"In my opinion, the service is terrible.",Sorry to hear the service didn't work out.,0,standard
totally thrilled that this phone wasted my time,"Sorry about that experience with this phone, we'll do better.",0,drift
