text,label,style
the new album really said main character energy,1,drift
"The customer support was impressive, overall.",1,standard
My experience with the coffee was great.,1,standard
"oh great, the service broke again, love that for me",0,drift
"In my opinion, this software update is awful.",0,standard
"color me surprised, this software update was actually decent",1,drift
"the hotel room was so overhyped, big letdown",0,drift
"Honestly, the concert turned out impressive.",1,standard
this book is goated no cap,1,drift
ngl this show is actually fire 🔥,1,drift
"Honestly, the delivery turned out fantastic.",1,standard
wow the delivery really outdid itself in disappointing me,0,drift
cant believe this bakery was this disappointing lol,0,drift
I found the hotel room to be awful.,0,standard
This phone left me feeling it was subpar.,0,standard
I found this game to be enjoyable.,1,standard
the podcast is actually so underrated,1,drift
wow this show really said let me disappoint you,0,drift
okay this camera is actually kinda amazing ngl,1,drift
"In my opinion, this laptop is unreliable.",0,standard
not me loving this app this much lol,1,drift
My experience with the restaurant was awful.,0,standard
"big yikes, this book was rough 😬",0,drift
totally thrilled that this course wasted my time,0,drift
"The delivery was well-made, overall.",1,standard
I found this course to be boring.,0,standard
this game mid af ngl,0,drift
The service was genuinely subpar.,0,standard
The restaurant was genuinely awful.,0,standard
not the service being this bad 😭,0,drift
This game was genuinely second-rate.,0,standard
cant believe the new album was this disappointing lol,0,drift
This show was genuinely excellent.,1,standard
"The coffee was unreliable, overall.",0,standard
This camera was genuinely unsatisfactory.,0,standard
the delivery 10/10 would recommend,1,drift
I found this phone to be subpar.,0,standard
totally thrilled that the museum wasted my time,0,drift
"Honestly, the movie turned out poorly made.",0,standard
the gym membership was mid tbh,0,drift
"can't stop thinking about the hotel room, so good!!",1,drift
"yeah this game was amazing, said no one ever",0,drift
"This jacket was subpar, overall.",0,standard
"In my opinion, the new album is underwhelming.",0,standard
My experience with the gym membership was great.,1,standard
this software update 2/10 do not recommend,0,drift
"Honestly, the new album turned out poorly made.",0,standard
The customer support left me feeling it was subpar.,0,standard
"yeah this software update was amazing, said no one ever",0,drift
The podcast left me feeling it was satisfying.,1,standard
My experience with this recipe was great.,1,standard
this show is giving excellence tbh,1,drift
"somehow the gym membership didn't disappoint for once, shocking",1,drift
This software update left me feeling it was wonderful.,1,standard
the new album got me smiling like an idiot ngl,1,drift
"Honestly, this software update turned out wonderful.",1,standard
this phone slaps fr fr,1,drift
"In my opinion, the podcast is underwhelming.",0,standard
The hotel room left me feeling it was unsatisfactory.,0,standard
"In my opinion, the museum is satisfying.",1,standard
"oh great, the restaurant broke again, love that for me",0,drift
My experience with this course was excellent.,1,standard
The service left me feeling it was excellent.,1,standard
This laptop left me feeling it was reliable.,1,standard
"oh great, the podcast broke again, love that for me",0,drift
"In my opinion, the service is mediocre.",0,standard
the museum slaps fr fr,1,drift
This course left me feeling it was awful.,0,standard
cant believe this jacket was this disappointing lol,0,drift
"shoutout to the podcast, genuinely great",1,drift
wasn't expecting much but the delivery actually delivered,1,drift
The podcast was genuinely satisfying.,1,standard
