review,reply,label,style
"Honestly, the concert turned out outstanding.",That's great to hear about the concert!,1,standard
This bakery was genuinely subpar.,"Sorry about that experience with this bakery, we'll do better.",0,standard
The restaurant left me feeling it was second-rate.,"That's disappointing to hear about the restaurant, sorry about that.",0,standard
"In my opinion, this phone is unreliable.",Sorry to hear this phone didn't work out.,0,standard
The hotel room left me feeling it was disappointing.,"That sounds frustrating, we'll look into the hotel room.",0,standard
The customer support left me feeling it was impressive.,Thanks for sharing — happy the customer support worked out so well!,1,standard
"In my opinion, the customer support is wonderful.","That's wonderful, thanks for letting us know about the customer support!",1,standard
This laptop left me feeling it was boring.,"That sounds frustrating, we'll look into this laptop.",0,standard
"In my opinion, the coffee is outstanding.",That's great to hear about the coffee!,1,standard
This camera left me feeling it was satisfying.,"That's wonderful, thanks for letting us know about this camera!",1,standard
My experience with the museum was well-made.,Love that! Thanks for the kind words about the museum.,1,standard
This bakery left me feeling it was terrible.,Sorry this bakery let you down — thanks for the feedback.,0,standard
This course left me feeling it was subpar.,Sorry to hear this course didn't work out.,0,standard
The restaurant left me feeling it was excellent.,"That's wonderful, thanks for letting us know about the restaurant!",1,standard
I found this software update to be unsatisfactory.,We apologize for the trouble with this software update.,0,standard
This show was genuinely satisfying.,Love that! Thanks for the kind words about this show.,1,standard
"Honestly, this course turned out frustrating.","That's disappointing to hear about this course, sorry about that.",0,standard
The museum left me feeling it was outstanding.,Thanks for sharing — happy the museum worked out so well!,1,standard
This phone left me feeling it was reliable.,That's great to hear about this phone!,1,standard
The gym membership was genuinely well-made.,That's great to hear about the gym membership!,1,standard
This laptop was genuinely mediocre.,"That sounds frustrating, we'll look into this laptop.",0,standard
"Honestly, the coffee turned out disappointing.",Sorry the coffee let you down — thanks for the feedback.,0,standard
This game left me feeling it was awful.,"That's disappointing to hear about this game, sorry about that.",0,standard
This bakery was genuinely unsatisfactory.,We apologize for the trouble with this bakery.,0,standard
"Honestly, this recipe turned out impressive.",Love that! Thanks for the kind words about this recipe.,1,standard
"The concert was unsatisfactory, overall.","That sounds frustrating, we'll look into the concert.",0,standard
I found the delivery to be superb.,"That's wonderful, thanks for letting us know about the delivery!",1,standard
"Honestly, the hotel room turned out disappointing.",Sorry to hear the hotel room didn't work out.,0,standard
I found the movie to be boring.,"That's disappointing to hear about the movie, sorry about that.",0,standard
The new album left me feeling it was excellent.,Love that! Thanks for the kind words about the new album.,1,standard
"Honestly, the hotel room turned out subpar.",Sorry the hotel room let you down — thanks for the feedback.,0,standard
"In my opinion, the museum is fantastic.",Love that! Thanks for the kind words about the museum.,1,standard
The movie was genuinely underwhelming.,We apologize for the trouble with the movie.,0,standard
The coffee left me feeling it was mediocre.,"That's disappointing to hear about the coffee, sorry about that.",0,standard
"Honestly, the customer support turned out satisfying.",Thanks for sharing — happy the customer support worked out so well!,1,standard
I found this bakery to be wonderful.,"That's wonderful, thanks for letting us know about this bakery!",1,standard
The museum left me feeling it was awful.,Sorry the museum let you down — thanks for the feedback.,0,standard
"The flight was impressive, overall.",That's great to hear about the flight!,1,standard
My experience with this book was well-made.,That's great to hear about this book!,1,standard
My experience with this laptop was mediocre.,Sorry this laptop let you down — thanks for the feedback.,0,standard
"Honestly, this jacket turned out boring.",Sorry to hear this jacket didn't work out.,0,standard
"Honestly, the restaurant turned out second-rate.",We apologize for the trouble with the restaurant.,0,standard
The hotel room was genuinely terrible.,We apologize for the trouble with the hotel room.,0,standard
My experience with this camera was superb.,That's great to hear about this camera!,1,standard
This jacket was genuinely satisfying.,Thanks for sharing — happy this jacket worked out so well!,1,standard
I found the coffee to be enjoyable.,"That's wonderful, thanks for letting us know about the coffee!",1,standard
"In my opinion, this recipe is subpar.",Sorry to hear this recipe didn't work out.,0,standard
"In my opinion, the service is awful.",Sorry the service let you down — thanks for the feedback.,0,standard
My experience with the podcast was outstanding.,So glad you loved the podcast!,1,standard
This game was genuinely impressive.,That's great to hear about this game!,1,standard
This software update was genuinely frustrating.,Sorry this software update let you down — thanks for the feedback.,0,standard
"Honestly, this game turned out satisfying.","That's wonderful, thanks for letting us know about this game!",1,standard
My experience with the hotel room was subpar.,"Sorry about that experience with the hotel room, we'll do better.",0,standard
My experience with this phone was satisfying.,Thanks for sharing — happy this phone worked out so well!,1,standard
